Age_Ma,LT_reconstructed
-1.573000000000000114e+02,-1.148280267335690752e+02
-1.572800000000000011e+02,-1.150856210835087836e+02
-1.572600000000000193e+02,-1.153422470283154979e+02
-1.572400000000000091e+02,-1.155978903166822107e+02
-1.572199999999999989e+02,-1.158525366973008630e+02
-1.572000000000000171e+02,-1.161061719188633106e+02
-1.571800000000000068e+02,-1.163587817300625886e+02
-1.571600000000000250e+02,-1.166103518795901692e+02
-1.571400000000000148e+02,-1.168608681161390876e+02
-1.571200000000000045e+02,-1.171103161884012565e+02
-1.571000000000000227e+02,-1.173586818450685030e+02
-1.570800000000000125e+02,-1.176059508348338625e+02
-1.570600000000000023e+02,-1.178521089063892333e+02
-1.570400000000000205e+02,-1.180971418084264855e+02
-1.570200000000000102e+02,-1.183410352896386399e+02
-1.570000000000000000e+02,-1.185837750987176094e+02
-1.569800000000000182e+02,-1.188253469843552352e+02
-1.569600000000000080e+02,-1.190657366952445102e+02
-1.569399999999999977e+02,-1.193049299800773895e+02
-1.569200000000000159e+02,-1.195429125875457288e+02
-1.569000000000000057e+02,-1.197796702663425066e+02
-1.568800000000000239e+02,-1.200151887651592943e+02
-1.568600000000000136e+02,-1.202494538326890421e+02
-1.568400000000000034e+02,-1.204824512176236482e+02
-1.568200000000000216e+02,-1.207141666686550963e+02
-1.568000000000000114e+02,-1.209445859344762653e+02
-1.567800000000000011e+02,-1.211736977584588004e+02
-1.567600000000000193e+02,-1.214015028626933486e+02
-1.567400000000000091e+02,-1.216280049639512839e+02
-1.567199999999999989e+02,-1.218532077790029291e+02
-1.567000000000000171e+02,-1.220771150246186778e+02
-1.566800000000000068e+02,-1.222997304175698474e+02
-1.566600000000000250e+02,-1.225210576746265190e+02
-1.566400000000000148e+02,-1.227411005125599530e+02
-1.566200000000000045e+02,-1.229598626481405717e+02
-1.566000000000000227e+02,-1.231773477981387117e+02
-1.565800000000000125e+02,-1.233935596793257332e+02
-1.565600000000000023e+02,-1.236085020084720441e+02
-1.565400000000000205e+02,-1.238221785023479384e+02
-1.565200000000000102e+02,-1.240345928777247480e+02
-1.565000000000000000e+02,-1.242457488513728521e+02
-1.564800000000000182e+02,-1.244556501400626871e+02
-1.564600000000000080e+02,-1.246643004605654710e+02
-1.564399999999999977e+02,-1.248717035296516684e+02
-1.564200000000000159e+02,-1.250778630640916305e+02
-1.564000000000000057e+02,-1.252827827806566177e+02
-1.563800000000000239e+02,-1.254864663961167821e+02
-1.563600000000000136e+02,-1.256889176272433275e+02
-1.563400000000000034e+02,-1.258901401908067186e+02
-1.563200000000000216e+02,-1.260901378035773490e+02
-1.563000000000000114e+02,-1.262889141823264225e+02
-1.562800000000000011e+02,-1.264864730438244464e+02
-1.562600000000000193e+02,-1.266828181048417434e+02
-1.562400000000000091e+02,-1.268779530821495740e+02
-1.562199999999999989e+02,-1.270718816925183887e+02
-1.562000000000000171e+02,-1.272646076527185386e+02
-1.561800000000000068e+02,-1.274561346795213410e+02
-1.561600000000000250e+02,-1.276464664896968770e+02
-1.561400000000000148e+02,-1.278356068000163646e+02
-1.561200000000000045e+02,-1.280235593272502967e+02
-1.561000000000000227e+02,-1.282103277881690531e+02
-1.560800000000000125e+02,-1.283959158995438656e+02
-1.560600000000000023e+02,-1.285803273781451423e+02
-1.560400000000000205e+02,-1.287635659407432911e+02
-1.560200000000000102e+02,-1.289456353041095724e+02
-1.560000000000000000e+02,-1.291265391850143658e+02
-1.559800000000000182e+02,-1.293062813002281644e+02
-1.559600000000000080e+02,-1.294848653665221718e+02
-1.559399999999999977e+02,-1.296622951006667392e+02
-1.559200000000000159e+02,-1.298385742194323313e+02
-1.559000000000000057e+02,-1.300137064395902087e+02
-1.558800000000000239e+02,-1.301876954779104949e+02
-1.558600000000000136e+02,-1.303605450511643653e+02
-1.558400000000000034e+02,-1.305322588761223415e+02
-1.558200000000000216e+02,-1.307028406695547460e+02
-1.558000000000000114e+02,-1.308722941482328963e+02
-1.557800000000000011e+02,-1.310406230289271150e+02
-1.557600000000000193e+02,-1.312078310284079805e+02
-1.557400000000000091e+02,-1.313739218634465260e+02
-1.557199999999999989e+02,-1.315388992508132731e+02
-1.557000000000000171e+02,-1.317027669072786296e+02
-1.556800000000000068e+02,-1.318655285496138561e+02
-1.556600000000000250e+02,-1.320271878945890478e+02
-1.556400000000000148e+02,-1.321877486589754369e+02
-1.556200000000000045e+02,-1.323472145595435450e+02
-1.556000000000000227e+02,-1.325055893130636093e+02
-1.555800000000000125e+02,-1.326628766363070042e+02
-1.555600000000000023e+02,-1.328190802460440807e+02
-1.555400000000000205e+02,-1.329742038590453319e+02
-1.555200000000000102e+02,-1.331282511920818479e+02
-1.555000000000000000e+02,-1.332812259619241786e+02
-1.554800000000000182e+02,-1.334331318853427604e+02
-1.554600000000000080e+02,-1.335839726791086548e+02
-1.554399999999999977e+02,-1.337337520599924403e+02
-1.554200000000000159e+02,-1.338824737447645532e+02
-1.554000000000000057e+02,-1.340301414501960551e+02
-1.553800000000000239e+02,-1.341767588930572686e+02
-1.553600000000000136e+02,-1.343223297901192836e+02
-1.553400000000000034e+02,-1.344668578581525935e+02
-1.553200000000000216e+02,-1.346103468139276629e+02
-1.553000000000000114e+02,-1.347528003742156102e+02
-1.552800000000000011e+02,-1.348942222557869286e+02
-1.552600000000000193e+02,-1.350346161754120544e+02
-1.552400000000000091e+02,-1.351739858498621061e+02
-1.552199999999999989e+02,-1.353123349959076052e+02
-1.552000000000000171e+02,-1.354496673303190732e+02
-1.551800000000000068e+02,-1.355859865698674582e+02
-1.551600000000000250e+02,-1.357212964313231680e+02
-1.551400000000000148e+02,-1.358556006314572642e+02
-1.551200000000000045e+02,-1.359889028870401830e+02
-1.551000000000000227e+02,-1.361212069148424746e+02
