Yr	Insolation	SL
-2.000.000	400.660.751	-6,484649082
-1.999.800	400.259.442	-6,704851318
-1.999.600	399.910.650	-6,896236954
-1.999.400	399.616.688	-7,057536824
-1.999.200	399.379.637	-7,187609063
-1.999.000	399.201.148	-7,285547751
-1.998.800	399.084.371	-7,349624451
-1.998.600	399.026.671	-7,381285014
-1.998.400	399.026.950	-7,381131924
-1.998.200	399.083.614	-7,350039824
-1.998.000	399.194.713	-7,289078699
-1.997.800	399.359.060	-7,198899867
-1.997.600	399.573.128	-7,081438629
-1.997.400	399.834.223	-6,938173208
-1.997.200	400.139.841	-6,770477575
-1.997.000	400.487.846	-6,579523774
-1.996.800	400.871.838	-6,368823548
-1.996.600	401.297.178	-6,135435264
-1.996.400	401.764.159	-5,87919815
-1.996.200	402.272.392	-5,600325653
-1.996.000	402.820.337	-5,299662787
-1.995.800	403.410.989	-4,975566166
-1.995.600	404.031.166	-4,635268884
-1.995.400	404.674.013	-4,282532348
-1.995.200	405.333.023	-3,920927013
-1.995.000	406.002.613	-3,553516328
-1.994.800	406.675.128	-3,184500665
-1.994.600	407.353.089	-2,812496728
-1.994.400	408.034.535	-2,438580537
-1.994.200	408.717.114	-2,064042658
-1.994.000	409.397.807	-1,690539646
-1.993.800	410.071.877	-1,32067074
-1.993.600	410.735.363	-0,956609379
-1.993.400	411.384.710	-0,600306228
-1.993.200	412.016.685	-0,253535267
-1.993.000	412.628.312	0,082070545
-1.992.800	413.219.982	0,406725753
-1.992.600	413.784.603	0,716538905
-1.992.400	414.317.875	1,00915055
-1.992.200	414.815.646	1,282282444
-1.992.000	415.274.167	1,533877472
-1.991.800	415.688.826	1,761404985
-1.991.600	416.059.447	1,96476841
-1.991.400	416.384.311	2,143024515
-1.991.200	416.661.914	2,295348039
-1.991.000	416.890.944	2,421019076
-1.990.800	417.068.494	2,518442525
-1.990.600	417.196.044	2,588430477
-1.990.400	417.273.958	2,631182663
-1.990.200	417.302.777	2,646995935
-1.990.000	417.283.007	2,636147939
-1.989.800	417.217.869	2,600406072
-1.989.600	417.103.167	2,537467945
-1.989.400	416.938.152	2,446922575
-1.989.200	416.722.629	2,328662963
-1.989.000	416.457.134	2,182983219
-1.988.800	416.142.368	2,010267987
-1.988.600	415.781.735	1,812385077
-1.988.400	415.377.127	1,590372647
-1.988.200	414.930.255	1,345169541
-1.988.000	414.442.784	1,07768936
-1.987.800	413.913.393	0,787207258
-1.987.600	413.348.205	0,477082987
-1.987.400	412.752.092	0,149989861
-1.987.200	412.130.654	-0,190999344
-1.987.000	411.489.642	-0,542728997
-1.986.800	410.839.905	-0,899246145
-1.986.600	410.178.333	-1,262257275
-1.986.400	409.505.983	-1,6311824
-1.986.200	408.823.404	-2,005720279
-1.986.000	408.131.277	-2,385497241
-1.985.800	407.426.592	-2,772164902
-1.985.600	406.718.215	-3,1608584
-1.985.400	406.011.289	-3,54875572
-1.985.200	405.311.507	-3,932733056
-1.985.000	404.624.695	-4,309593625
-1.984.800	403.957.386	-4,675752703
-1.984.600	403.313.072	-5,029294197
-1.984.400	402.695.991	-5,367892673
-1.984.200	402.109.713	-5,689589236
-1.984.000	401.557.067	-5,992831588
-1.983.800	401.041.829	-6,275547797
-1.983.600	400.562.987	-6,53829316
-1.983.400	400.121.426	-6,780582068
-1.983.200	399.718.433	-7,001708332
-1.983.000	399.355.970	-7,200595381
-1.982.800	399.035.401	-7,376494776
-1.982.600	398.762.495	-7,52624101
-1.982.400	398.540.646	-7,647971761
-1.982.200	398.372.562	-7,740201122
-1.982.000	398.260.076	-7,801923307
-1.981.800	398.203.231	-7,833114724
-1.981.600	398.203.096	-7,833188799
-1.981.400	398.260.427	-7,80173071
-1.981.200	398.375.982	-7,738324534
-1.981.000	398.550.435	-7,642600439
-1.980.800	398.786.633	-7,51299625
-1.980.600	399.081.443	-7,351231074
-1.980.400	399.433.307	-7,158159801
-1.980.200	399.840.225	-6,934879851
-1.980.000	400.299.956	-6,682620884
-1.979.800	400.808.728	-6,403452632
-1.979.600	401.366.593	-6,097346564
-1.979.400	401.972.137	-5,765078555
-1.979.200	402.623.982	-5,407404726
-1.979.000	403.320.694	-5,02511193
-1.978.800	404.059.481	-4,619732162
-1.978.600	404.839.950	-4,191481068
-1.978.400	405.660.248	-3,741375405
-1.978.200	406.517.956	-3,270742503
-1.978.000	407.409.927	-2,781309153
-1.977.800	408.335.749	-2,273301423
-1.977.600	409.285.700	-1,752053871
-1.977.400	410.253.481	-1,22102282
-1.977.200	411.232.990	-0,6835565
-1.977.000	412.218.743	-0,142664035
-1.976.800	413.202.717	0,397252276
-1.976.600	414.186.469	0,937046772
-1.976.400	415.167.684	1,475449192
-1.976.200	416.143.769	2,01103673
-1.976.000	417.111.504	2,542042539
-1.975.800	418.067.784	3,066762877
-1.975.600	419.005.782	3,581451699
-1.975.400	419.920.289	4,083250776
-1.975.200	420.806.239	4,569380344
-1.975.000	421.658.862	5,037223055
-1.974.800	422.474.985	5,485037854
-1.974.600	423.249.148	5,909828784
-1.974.400	423.976.821	6,309110189
-1.974.200	424.653.619	6,680475976
-1.974.000	425.275.385	7,021645158
-1.973.800	425.837.944	7,330326871
-1.973.600	426.338.368	7,604914492
-1.973.400	426.773.540	7,843697692
-1.973.200	427.140.636	8,045126915
-1.973.000	427.437.172	8,207839164
-1.972.800	427.657.927	8,328969626
-1.972.600	427.805.372	8,409874163
-1.972.400	427.879.497	8,450547287
-1.972.200	427.880.458	8,451074597
-1.972.000	427.808.300	8,411480785
-1.971.800	427.668.655	8,334856186
-1.971.600	427.452.620	8,216315635
-1.971.400	427.157.446	8,054350729
-1.971.200	426.780.953	7,847765279
-1.971.000	426.321.972	7,595917844
-1.970.800	425.775.341	7,295975983
-1.970.600	425.150.361	6,953043247
-1.970.400	424.451.066	6,569333133
-1.970.200	423.681.720	6,147185339
-1.970.000	422.846.487	5,688884693
-1.969.800	421.950.615	5,197310825
-1.969.600	420.995.092	4,673005861
-1.969.400	419.983.308	4,117829928
-1.969.200	418.918.965	3,533814349
-1.969.000	417.806.043	2,923142989
-1.968.800	416.651.823	2,289811007
-1.968.600	415.456.670	1,634018682
-1.968.400	414.223.451	0,957339163
-1.968.200	412.955.202	0,261438336
-1.968.000	411.655.470	-0,451737526
-1.967.800	410.323.741	-1,18247046
-1.967.600	408.972.115	-1,924121076
-1.967.400	407.608.448	-2,672378708
-1.967.200	406.240.802	-3,422819657
-1.967.000	404.876.956	-4,171175508
-1.966.800	403.526.827	-4,912004705
-1.966.600	402.192.423	-5,644205438
-1.966.400	400.878.455	-6,365192734
-1.966.200	399.589.294	-7,072568184
-1.966.000	398.329.167	-7,764012389
-1.965.800	397.102.892	-8,436881666
-1.965.600	395.914.208	-9,089124387
-1.965.400	394.767.457	-9,718358054
-1.965.200	393.667.335	-10,32200593
-1.965.000	392.618.959	-10,89726025
-1.964.800	391.626.168	-11,44201454
-1.964.600	390.697.421	-11,95162725
-1.964.400	389.838.442	-12,42295756
-1.964.200	389.054.020	-12,8533777
-1.964.000	388.347.825	-13,24087392
-1.963.800	387.721.880	-13,58433616
-1.963.600	387.177.905	-13,88282064
-1.963.400	386.718.155	-14,13509004
-1.963.200	386.345.200	-14,33973415
-1.963.000	386.061.888	-14,49519026
-1.962.800	385.874.881	-14,59780286
-1.962.600	385.782.377	-14,64856072
-1.962.400	385.784.652	-14,64731241
-1.962.200	385.881.187	-14,5943427
-1.962.000	386.070.911	-14,49023925
-1.961.800	386.347.677	-14,338375
-1.961.600	386.716.705	-14,13588567
-1.961.400	387.178.728	-13,88236906
-1.961.200	387.734.373	-13,57748112
-1.961.000	388.383.865	-13,22109841
-1.960.800	389.129.572	-12,81192157
-1.960.600	389.966.075	-12,35292406
-1.960.400	390.890.254	-11,84581786
-1.960.200	391.898.399	-11,29263869
-1.960.000	392.986.368	-10,69565929
-1.959.800	394.150.089	-10,05711401
-1.959.600	395.384.586	-9,37973324
-1.959.400	396.684.967	-8,666201266
-1.959.200	398.046.292	-7,919228712
-1.959.000	399.463.646	-7,14151249
-1.958.800	400.930.392	-6,336694387
-1.958.600	402.444.329	-5,505982113
-1.958.400	404.000.892	-4,651880529
-1.958.200	405.595.014	-3,777169949
-1.958.000	407.221.031	-2,884958265
-1.957.800	408.872.817	-1,978606875
-1.957.600	410.542.865	-1,062234944
-1.957.400	412.224.453	-0,139530901
-1.957.200	413.910.971	0,785878283
-1.957.000	415.595.922	1,710427638
-1.956.800	417.275.849	2,632220274
-1.956.600	418.940.616	3,545694467
-1.956.400	420.582.225	4,446461636
-1.956.200	422.192.635	5,330109604
-1.956.000	423.764.076	6,192374894
-1.955.800	425.284.506	7,026649942
-1.955.600	426.754.003	7,832977546
-1.955.400	428.168.440	8,609093182
-1.955.200	429.523.851	9,352820664
-1.955.000	430.816.060	10,06186858
-1.954.800	432.044.136	10,73572608
-1.954.600	433.197.446	11,36855874
-1.954.400	434.269.488	11,95679884
-1.954.200	435.254.128	12,49708059
-1.954.000	436.145.899	12,9864042
-1.953.800	436.939.564	13,42189607
-1.953.600	437.632.633	13,80218991
-1.953.400	438.222.051	14,12560943
-1.953.200	438.705.256	14,39074881
-1.953.000	439.080.184	14,59647553
-1.952.800	439.343.622	14,74102658
-1.952.600	439.496.779	14,82506535
-1.952.400	439.539.962	14,84876029
-1.952.200	439.473.944	14,81253556
-1.952.000	439.299.807	14,71698485
